"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 17 10:35:46 CST 2021","Wed Nov 17 10:35:46 CST 2021","335","tests","test_user_login","","","","test_nologin",""
"passed","Wed Nov 17 10:35:44 CST 2021","Wed Nov 17 10:35:44 CST 2021","686","tools","test_update_version","","","","test_update_version",""
"passed","Wed Nov 17 10:35:45 CST 2021","Wed Nov 17 10:35:45 CST 2021","316","tests","test_user_login","","","","test_userisnull",""
"passed","Wed Nov 17 10:35:45 CST 2021","Wed Nov 17 10:35:46 CST 2021","323","tests","test_user_login","","","","test_allnull",""
"passed","Wed Nov 17 10:35:44 CST 2021","Wed Nov 17 10:35:45 CST 2021","372","tests","test_user_login","","","","test_user_login",""
"passed","Wed Nov 17 10:35:42 CST 2021","Wed Nov 17 10:35:43 CST 2021","265","tools","test_admin_login","","","","test_adminLogin",""
"passed","Wed Nov 17 10:35:45 CST 2021","Wed Nov 17 10:35:45 CST 2021","270","tests","test_user_login","","","","test_passwdisnull",""
"passed","Wed Nov 17 10:35:46 CST 2021","Wed Nov 17 10:35:46 CST 2021","277","tests","test_user_login","","","","test_passwderror",""
"passed","Wed Nov 17 10:35:43 CST 2021","Wed Nov 17 10:35:43 CST 2021","271","tools","test_admin_login","","","","test_headers",""
"passed","Wed Nov 17 10:35:43 CST 2021","Wed Nov 17 10:35:44 CST 2021","272","tools","test_update_version","","","","test_headers",""
"failed","Wed Nov 17 10:35:43 CST 2021","Wed Nov 17 10:35:43 CST 2021","309","tools","test_create_user","","","","test_create_user",""
"passed","Wed Nov 17 10:35:46 CST 2021","Wed Nov 17 10:35:46 CST 2021","40","tests","test_add_douyin","","","","test_douyin_id",""
"passed","Wed Nov 17 10:35:46 CST 2021","Wed Nov 17 10:35:46 CST 2021","124","tests","test_add_douyin","","","","test_add_douyin",""
